TP53
SRC
ESR1
EGFR
EP300
SMAD3
CREBBP
GRB2
AR
MAPK1
SMAD2
PIK3R1
CTNNB1
ABL1
SMAD4
AKT1
SHC1
STAT3
BRCA1
PRKCD
CASP3
RB1
MAPK3
JUN
RELA
LCK
PRKACA
HSP90AA1
RAF1
PTK2
PTPN6
CBL
PTPN11
CAV1
PLCG1
JAK2
PAK1
KAT5
MYC
SYK
ZBTB16
MAPK8
GNB2L1
YWHAE
CASP8
RAC1
MDM2
MAPK14
BCL2
GSK3B
VAV1
PXN
XRCC6
NFKB1
PML
CDC42
IGF1R
JAK1
BTK
ACTB
ERBB2
EEF1A1
FLNA
EWSR1
HRAS
PRKCB
HDAC3
CDKN1A
PDGFRB
HIF1A
HDAC2
MYOD1
IKBKB
KIT
NCOR2
DAXX
MET
BCR
NCOA1
CCND1
ESR2
PAK2
NCOA3
CDKN1B
FHL2
KDR
NCOR1
FAS
RARA
PTPRC
PCNA
EZR
NOTCH1
RHOA
STAT5B
NCOA2
SMARCA4
TSC2
NRIP1
ETS1
HNRNPK
WAS
CDH1
E2F1
MAP3K7
TCF3
RAN
CREB1
CASP9
MAPK9
RET
FOXO1
BAD
CDK4
TGFBR2
SOCS1
RPS6KA1
NTRK1
MAP2K1
BCL2L1
PTMA
MDM4
DAB2
FGFR1
ACVR1
HIPK2
NDRG1
PTEN
LMNA
BCL3
ATF2
PIAS3
MUC1
ATM
CSNK1A1
RUNX2
CASP1
AXIN1
DNM2
GRB10
TERT
DLG1
CD44
PLK1
PRKD1
ERBB3
CDC25A
MED1
USP7
PSEN2
NPM1
CLTC
CXCR4
YBX1
IL6ST
GFI1B
XPO1
MST1R
DVL1
PKD1
CEBPA
TP53BP2
BRCA2
PRKAR1A
HSP90AB1
BTRC
MLLT4
ARNT
RAP1A
BARD1
EPS8
JAK3
TFAP2A
TIAM1
GRIN2A
ITK
CCNB1
TEC
CTNND1
CBLB
ERBB4
TRAF3
RPA2
PPP2R1A
PDGFRA
PPARG
PPARD
DHX9
FGFR3
LEF1
HMGA1
RUNX1T1
JUND
SLC9A3R1
NTRK2
CCNE1
MYB
TRIM24
SMARCB1
BIN1
HSPA5
PLD1
MAX
HNF1A
GAB2
EPS15
CHEK2
PEBP1
AURKA
NUMB
BCL6
NFKB2
MITF
TOP1
STAT6
BAG1
NFATC2
BRAF
MTA1
TSHR
CDK6
YAP1
RUNX1
ARAF
ETS2
DCTN1
EGR1
MAPKAPK2
AXL
FOXO3
GATA1
HSPD1
CALR
MTOR
UBE3A
CSF3R
TNFAIP3
SORBS2
DDX5
TSC1
HLA-A
STK11
RAD9A
APC
CEACAM1
RGS2
CDKN2A
REL
WT1
NF2
PTPN13
NTRK3
SET
TAL1
SPI1
BRMS1
EIF4EBP1
MEN1
FGF2
AKT2
JUNB
HSPB1
IRS4
CFLAR
NFE2L2
SPP1
PPP1R8
PIK3CA
SMARCE1
DNAJA3
PABPC1
ATF1
HOXA9
MAP2
EZH2
NMT1
TRIM27
GATA2
RBL2
MYBL2
TRAF4
PRLR
BLM
PLAUR
RASSF1
FES
CD28
PAX6
CUX1
CTNND2
COPS2
TNFRSF14
TEK
RBBP8
S100A4
NCKIPSD
CCND3
CSF1R
ABI1
SKI
MAP2K4
ATF3
VAV3
GNAQ
TRIM37
HNRNPD
BCL10
WRN
SIRT1
AATF
BIRC2
FBXW7
MME
TP63
SOX10
ATR
S100A8
SMARCD1
SHBG
S100B
MAPK10
CD82
FOXO4
PA2G4
FBLN1
INPPL1
DDIT3
ESRRA
MARK4
LMO2
MCM5
FUS
RAP2A
IL7R
DDR1
DNMT1
BUB1
CDX2
FANCA
USP8
WWP1
BCL2L11
PLCB1
ELF3
EPHA3
VHL
LIMK1
MAPK12
PLA2G4A
BRF1
NUP214
MLL
HIP1
NKX2-1
NR3C2
CD79A
ERCC3
IKZF1
DAPK1
NBN
EIF4E
SELE
FLT4
CDKN2C
PTPRJ
FCGR2B
ITGAV
HSPG2
MLH1
STK4
LIFR
ADAM12
KIF5B
CDC20
RAC2
RGS7
L1CAM
RBBP7
RABEP1
PSAP
MMP2
TFE3
RUVBL2
CD9
NRAS
COL1A1
RALGDS
RCHY1
TCF12
SATB1
LDB1
ATRX
BAK1
RPL5
NUP98
WWOX
EPAS1
MAP2K2
ENAH
PAX5
TPM3
APAF1
SH3GL2
DCC
EPB41L3
DNMT3A
FSCN1
TJP2
SDC4
PAEP
MGMT
STRN
RAPGEF1
UBR5
RELB
FGFR4
TRAP1
MAPK7
MEF2D
REPS2
KLF6
ATP1A1
FEN1
TCF7L2
FANCD2
SPEN
HBP1
MAF
CSE1L
CLU
ALK
MYH9
ZMYM2
ATF4
CDC6
TRRAP
CCR1
SGK1
SUFU
NIN
MIF
RTN4
NONO
AKAP9
DYRK1A
KLF5
PCBP1
THBS1
ETV6
ANXA1
CD79B
RBX1
RANBP2
ZEB1
FAM107A
FANCC
KRAS
MMP14
MSN
TOPORS
FLT3
ERCC6
MAD2L1
MBD2
SFRS1
BAX
POU5F1
CBLC
SLC4A1
TYRO3
HMGA2
TPR
PTTG1
RASGRF1
NOL3
H3F3A
EIF3E
KDM5A
ARHGEF2
PIM1
LGALS3
BIRC6
BMI1
SMC1A
TTF2
HSPH1
BCOR
ID3
MYD88
KSR1
RUVBL1
KLK2
MECOM
TFG
NOTCH2
