PRKCA
YWHAG
CSNK2A1
FYN
HDAC1
TGFBR1
CDK1
YWHAZ
YWHAB
UBE2I
LYN
CALM1
SP1
NR3C1
SMAD1
STAT1
VIM
TRAF2
ATXN1
TRAF6
TBP
INSR
PTK2B
RXRA
ACTA1
DLG4
PRKCZ
NFKBIA
APP
YWHAQ
HTT
CDK2
CSNK2A2
IRS1
UBB
PPP1CA
PIN1
RASA1
CRK
UNC119
PPP2CA
YWHAH
HSPA1A
SKIL
UBQLN4
SMAD9
HCK
SRF
SUMO4
HMGB1
CHD3
CHUK
KRT18
HGS
ITGB1
PLSCR1
CEBPB
COPS6
CSNK2B
BCAR1
SUMO1
STAT5A
HSPA8
PIAS1
KHDRBS1
TNFRSF1A
CDK5
C1orf103
FOS
PSEN1
TUBA4A
MAPT
KAT2B
PRPF40A
SETDB1
PRKDC
ZAP70
NCK1
SVIL
LRP1
PRMT1
SMURF1
PRKCE
ATN1
SIN3A
DYNLL1
MBP
SMURF2
SNCA
SOS1
GRIN1
ACTN1
GIT1
KPNA2
SAT1
TUBB
PIAS4
DNM1
PTN
DVL2
POLR2A
CCR5
CASP7
IKBKG
KIAA1377
SMAD7
ADRBK1
CCDC85B
GAPDH
NCF1
PTPN12
PARP1
ATF7IP
PDPK1
BMPR1B
MAP3K5
PTPN1
EEF1G
KPNB1
SQSTM1
PRKCG
HDAC4
FN1
ITGB2
CAPN1
STUB1
EIF2AK2
TRIP6
GRIN2B
CTBP1
IRAK1
GNAI1
ARRB2
THRB
SFN
BAT3
ZFYVE9
GNAI2
NCOA6
NGFR
TP73
EPB41
ITGB3
TSG101
ZHX1
CD247
HAP1
RNF11
TLE1
EPHB2
PICK1
SFRS12
HSF1
NEDD9
CRMP1
CDK9
VDR
COPS5
CSK
TGM2
RAD51
SMN1
FASLG
COIL
JUP
MAP3K14
GTF2B
THRA
RANBP9
PRNP
SPTAN1
TAF1
NR4A1
MDFI
PARD3
GADD45G
PLD2
PSMD11
RPS6KB1
NCK2
HNF4A
CD4
EPOR
FADD
CALCOCO2
GNA13
CUL1
KRTAP4-12
NEDD4
HDAC5
ACTN2
MED31
C14orf1
POU2F1
GRAP2
RIPK1
CTTN
TRAF1
NOS1
PRKCI
PAFAH1B3
CAMK2A
ITGB4
STX1A
ADRB2
ARRB1
SH3KBP1
GTF2H1
NFKBIB
HIST3H3
MAP3K3
GRIN2D
IRS2
CAMK2G
WASF1
RRAS2
SYN1
XRCC5
PRKAR2A
UBTF
C1QBP
CRKL
PARK2
TJP1
PIK3R2
DAZAP2
ITPR1
CHEK1
PGR
SMAD5
SNIP1
TOM1L1
PPARA
HABP4
PPP2R1B
SNW1
SUV39H1
RPA1
LUC7L2
NMI
SLC2A4
ARF1
RPS6KA5
VTN
TNK2
EFEMP2
ACTG1
CASP6
FLT1
MCM7
PDCD6IP
IGFBP3
HNRNPU
SNAPIN
RBL1
MYOC
RBBP4
STAU1
ANXA2
FXR2
NCL
APEX1
UTP14A
C7orf64
DAB1
RBPMS
ADAM15
PRKCQ
FEZ1
DVL3
AP2B1
XIAP
CALM2
SNRNP70
HSPA4
CCNA2
IFNAR1
ZNF24
ROCK1
TAF9
BTBD2
ELK1
CCNA1
LRP2
SUMO2
IL16
GFAP
SH3GL3
MCM2
ACTN4
RAB4A
CD2AP
UBQLN1
MYST2
NR5A1
CDC25C
HIPK3
ABCA1
DDX24
LNX1
VCP
CDH5
TGFB1
CANX
PLAT
ING1
SOCS3
ACTC1
ARIH2
CTBP2
GDF9
HNRNPC
CFTR
PKN1
TOP2A
SKP2
SPTBN1
CDK7
PPARGC1A
IL2RB
VCL
STRAP
EPHA2
MEF2C
WASL
MAGEA11
SKP1
TGFB1I1
PSME3
UBA52
EEF1D
MPHOSPH6
GNA12
GSN
CD5
PFN1
PTPRS
RIPK2
TYK2
RPS6KA3
ERBB2IP
STAMBP
SREBF2
UBC
CSF2RB
DAG1
CFL1
GIPC1
SNAP25
KRT15
RABAC1
BAT2
TUBG1
CASK
GSK3A
PECAM1
PTPRF
BMPR2
TRIP13
IQGAP1
TRIM28
PFN2
ZBTB17
SERPINB9
RACGAP1
SYT1
TRADD
ARHGEF7
CREM
NIF3L1
TP53BP1
TNNT1
DGKZ
PARD6A
GHR
MCL1
AP2M1
MARK3
WEE1
IMMT
LCP2
NEDD8
AES
IGSF21
EIF2S2
PIK3CG
PRMT5
SNTA1
TSC22D4
AHR
PLG
HCFC1
EIF6
CD40
MTNR1A
TCF4
PRKG1
IKBKAP
ARR3
VASP
KRT8
WBP11
EFNB2
DCN
SIAH1
TRIM29
RGS19
PSMA3
CBX5
ILK
SP3
ARHGEF6
AGTR1
GRIA1
DLG3
PDLIM7
SLC9A3R2
CDC25B
RALA
DOK1
ID2
MAGI1
MSX1
ARL4D
FHL3
SDC2
MOBKL3
RPS27A
ITCH
NR1H2
GTF2F1
TERF1
DLG2
IL4R
AP2A1
CALM3
TCERG1
ZFP36
SORBS3
CD22
MAPKAPK5
C3
LDOC1
TADA3
PEA15
BCAP31
STXBP1
HES1
ASCC2
NFYA
DSP
NR2C2
USO1
TLR4
ARHGAP1
RHOXF2
ITSN1
GPRASP1
ITGA6
CALCOCO1
RAB27A
TLR2
AP1B1
OCLN
CDH2
TGIF1
FGR
CTLA4
MNAT1
CDK5R1
NINL
USHBP1
UBE2L3
SNAP23
GTF2I
PDE6D
GJA1
MAP1B
APPBP2
CCNT1
KIAA0408
SH2B2
BAIAP2
ITGA5
TTN
WASF2
MAPK8IP1
LMNB1
TDG
PLEC1
PKP2
ITGB5
TRIP4
ATP5C1
CD81
STAM2
RFC1
CD3E
PTPN2
GPS2
AKAP13
IL2RG
PTGES3
PPM1A
TRPC3
CDC27
PPP1CC
GORASP2
LEPR
GZMB
TBK1
IFNAR2
RIBC2
STX5
RGS3
GRM5
SREBF1
DLEU1
KNG1
HCLS1
CD2
MDK
VEGFA
STRN4
GOLGA2
MEF2A
GTF2F2
BMX
RFX1
MAPK8IP3
PPP3CA
CYCS
PPP1R9B
DDX20
INS
ADAP1
CDC37
TNFSF11
LYST
EGF
GLI3
PPFIA1
GNAO1
YY1
GAB1
MCM10
CCT5
DOK2
YES1
RAB5A
COMMD1
SDCBP
ACTA2
PARD6B
POLA1
XRCC4
SNRPD2
RXRG
CSNK1D
MCM3
U2AF2
TRPV4
IRF3
RAD23A
VDAC1
TUBA1B
SUPT5H
FLNC
MED28
BID
TTR
SH3BP2
MAP3K4
F11R
WWP2
TAF10
RGS12
LSM1
EVL
RPLP1
SUMO3
BAT1
CIB1
CTNNA1
MAD1L1
ANK3
ELANE
HDAC6
AKTIP
BIRC5
GABRR1
PPP4C
MAGI2
NPHP1
PELP1
SH2D1A
MTNR1B
PHYHIP
TEX11
NUDT18
PPP2R5A
FURIN
TOLLIP
KCNB1
NDC80
CTSG
NUP153
TGFA
SAFB
SRPK1
DISC1
APOB
PNN
ITGA4
XRCC1
SGOL1
CCNK
SOCS6
GGA1
SNX6
NDN
MED8
APBB1
CD19
GNAI3
MBD1
CYTH2
MAP1A
PRKRA
ALB
LMO4
CASP2
MAP4K1
CDK11B
TUBA1A
MYLK
GADD45A
BACE1
PLCG2
RGS16
MEP1B
RHOG
PRTN3
SULT1E1
FSHR
POLA2
GATA4
PIAS2
LAT
PSMC5
CENPJ
HTR2A
RAB1A
NSF
TPD52L1
CCDC33
PPP1R15A
MAP3K10
P4HB
HLA-B
GPS1
SNRPB
GOLM1
A2M
IGF2
ABI3
SAP30
FRS2
CCL5
PSMB5
ING5
TOB1
ARHGDIA
SERPINA3
MAPK8IP2
TYROBP
DMD
PHB
NPHS1
INADL
PSMA1
IL1RAP
NOS3
FOXG1
HBEGF
STMN1
NUP62
ACP1
HIST2H2BE
PSTPIP1
TCEA2
PAPPA
GRIK2
INPP5D
COPB1
ITGB7
AURKB
EIF2S1
CRX
TK1
NRP1
CTDP1
PTBP1
SGSM2
CCNH
TUBGCP4
GRK5
CD8A
EXOSC6
PEX19
OGT
COPS4
ADRB1
CNKSR1
TOPBP1
NR1H3
PAG1
SPRY2
PSMC2
CDK5RAP2
PRSS23
CD59
F2
NCAM1
NEFL
AP1M1
COL4A1
SORBS1
BRD7
CXCR2
PBK
CASP10
FAF1
RIT1
SNX1
BEGAIN
ATXN2
NXF1
PFDN1
SELL
GNB2
CHGB
C19orf50
MED9
POLR2C
SCAMP1
MEIS1
GRB7
DNMT3B
CLK1
NR2F1
ARF6
IRF2
ZMYND11
ITGB3BP
CDC5L
SHB
DDB1
