TP53
SRC
ESR1
EP300
EGFR
GRB2
CREBBP
SMAD3
PRKCA
YWHAG
SMAD2
MAPK1
AR
CSNK2A1
FYN
CTNNB1
PIK3R1
SMAD4
ABL1
AKT1
RB1
CASP3
PRKACA
BRCA1
SHC1
PRKCD
STAT3
HDAC1
RELA
TGFBR1
CDK1
JUN
YWHAZ
MAPK3
YWHAB
HSP90AA1
PTPN6
UBE2I
RAF1
LYN
LCK
CALM1
PTPN11
SP1
PTK2
NR3C1
CAV1
PLCG1
SMAD1
STAT1
JAK2
CBL
SYK
VIM
TRAF2
ZBTB16
ATXN1
KAT5
TRAF6
RAC1
TBP
PAK1
INSR
MAPK14
GSK3B
BCL2
PTK2B
MYC
RXRA
XRCC6
ACTA1
CDC42
GNB2L1
DLG4
ACTB
PRKCZ
NFKBIA
EWSR1
CASP8
APP
YWHAE
JAK1
EEF1A1
YWHAQ
MAPK8
HRAS
NFKB1
HTT
CDK2
MDM2
CSNK2A2
IRS1
UBB
PPP1CA
BTK
PIN1
PRKCB
VAV1
FLNA
PXN
RASA1
CRK
IGF1R
UNC119
PPP2CA
CDKN1A
YWHAH
HSPA1A
PML
SKIL
UBQLN4
SMAD9
PCNA
HCK
SRF
SUMO4
HDAC3
HDAC2
HMGB1
CHD3
PDGFRB
ERBB2
HIF1A
CHUK
KRT18
HGS
ITGB1
PLSCR1
CEBPB
COPS6
CSNK2B
BCAR1
NCOR1
SUMO1
STAT5A
HSPA8
PIAS1
RHOA
KHDRBS1
TNFRSF1A
CDK5
C1orf103
FOS
PSEN1
PTPRC
TUBA4A
MAPT
KAT2B
KIT
PRPF40A
SETDB1
PRKDC
MYOD1
ZAP70
NCK1
SVIL
LRP1
NOTCH1
PRMT1
FHL2
SMURF1
EZR
MET
PRKCE
DAXX
ATN1
SIN3A
DYNLL1
MBP
TCF3
KDR
PAK2
SMURF2
SNCA
SOS1
SMARCA4
IKBKB
NCOR2
NCOA3
GRIN1
ACTN1
CCND1
GIT1
RARA
BCL2L1
KPNA2
SAT1
TUBB
FAS
PIAS4
RAN
DNM1
DLG1
ACVR1
PTN
DVL2
CDKN1B
POLR2A
FGFR1
CCR5
CASP7
NCOA1
IKBKG
HNRNPK
KIAA1377
SMAD7
NDRG1
ADRBK1
MAP3K7
CCDC85B
NCOA2
NRIP1
GAPDH
NCF1
PTPN12
CDK4
PARP1
ATF7IP
PDPK1
E2F1
ESR2
CDH1
BMPR1B
MAP3K5
PTPN1
EEF1G
MAPK9
KPNB1
SQSTM1
CREB1
WAS
BCR
PRKCG
HDAC4
CASP9
FN1
ITGB2
ETS1
SOCS1
CAPN1
STUB1
RET
GFI1B
XPO1
EIF2AK2
PLK1
TRIP6
GRIN2B
CTBP1
IRAK1
GNAI1
ARRB2
CD44
THRB
SFN
PTMA
TGFBR2
BAT3
ZFYVE9
BAD
GNAI2
SLC9A3R1
NCOA6
NGFR
TP73
EPB41
ITGB3
TSG101
FGFR3
ZHX1
TSC2
CD247
HAP1
USP7
CASP1
ATM
RNF11
TLE1
ERBB3
CLTC
LMNA
MUC1
EPHB2
PICK1
MAP2K1
HIPK2
SFRS12
HSF1
NEDD9
CRMP1
CDK9
DNM2
RPS6KA1
VDR
COPS5
CSK
TGM2
RAD51
SMN1
FASLG
COIL
PTEN
JUP
MAP3K14
GTF2B
THRA
NTRK1
AXIN1
RANBP9
PRNP
SPTAN1
TAF1
NR4A1
MDFI
PARD3
TRAF3
GADD45G
STAT5B
PLD2
CSNK1A1
FOXO1
RAP1A
PSMD11
RPS6KB1
MLLT4
NCK2
PSEN2
IL6ST
HNF4A
CD4
EPOR
FADD
DVL1
CDKN2A
DAB2
HSPA5
CALCOCO2
GNA13
CUL1
KRTAP4-12
EPS8
TERT
NEDD4
ERBB4
HDAC5
ACTN2
MED31
C14orf1
PRKAR1A
POU2F1
CXCR4
GRAP2
RIPK1
CTTN
TRAF1
NOS1
PRKCI
PPP2R1A
PAFAH1B3
YBX1
DHX9
BTRC
CAMK2A
ITGB4
STX1A
ADRB2
ARRB1
SH3KBP1
CALR
RPA2
ATF2
GTF2H1
ARNT
NFKBIB
GRB10
GNAQ
HIST3H3
MAP3K3
GRIN2D
IRS2
CAMK2G
CHEK2
WASF1
RRAS2
MED1
SYN1
BRCA2
XRCC5
PRKAR2A
UBTF
C1QBP
CRKL
PARK2
TJP1
BCL3
MDM4
PIK3R2
DAZAP2
ITPR1
CHEK1
PGR
SMAD5
BIN1
SNIP1
TOM1L1
PPARA
HABP4
RUNX1T1
PPP2R1B
CCNB1
SNW1
SUV39H1
RPA1
PIAS3
LUC7L2
MAX
NMI
SLC2A4
ARF1
RPS6KA5
VTN
PRKD1
BARD1
TSHR
TNK2
DCTN1
NPM1
CDC25A
EFEMP2
ACTG1
CASP6
EPS15
FLT1
MCM7
RUNX2
FGF2
PDCD6IP
IGFBP3
AURKA
TP53BP2
PKD1
HNRNPU
SNAPIN
RBL1
MYOC
UBE3A
RBBP4
STAU1
ANXA2
FXR2
NCL
APEX1
PDGFRA
UTP14A
C7orf64
DAB1
GRIN2A
RBPMS
TRIM24
ADAM15
RGS2
PRKCQ
FEZ1
DVL3
HLA-A
AP2B1
XIAP
CALM2
SNRNP70
HSPA4
CCNA2
NFKB2
IFNAR1
ZNF24
ROCK1
TAF9
BTBD2
ELK1
CCNA1
